epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,10133.8,0.49434,0.23417,0.89928,0.99802,1,0.99455,0.8893,0.529,0.20142,0.90028,0.000400551,0.000400551,0.000400551
115,10196.9,0.49242,0.23278,0.89656,0.99815,0.99946,0.99465,0.88997,0.52691,0.20042,0.89574,0.000396051,0.000396051,0.000396051
116,10262.9,0.49597,0.23299,0.89895,0.99804,0.99941,0.99466,0.89231,0.52653,0.19982,0.89663,0.000391552,0.000391552,0.000391552
117,10354.7,0.48305,0.22814,0.89458,0.99817,0.9999,0.9946,0.89058,0.52322,0.19748,0.89989,0.000387052,0.000387052,0.000387052
118,10420.3,0.4956,0.23374,0.90481,0.99815,0.99954,0.99467,0.89137,0.53284,0.20039,0.9055,0.000382553,0.000382553,0.000382553
119,10483.2,0.48912,0.23001,0.89803,0.99825,1,0.99481,0.88982,0.52741,0.20005,0.90188,0.000378053,0.000378053,0.000378053
120,10550.1,0.47841,0.22756,0.89067,0.99784,0.99936,0.99462,0.89126,0.52872,0.19921,0.8985,0.000373554,0.000373554,0.000373554
121,10617,0.48373,0.22924,0.89337,0.99767,0.99932,0.99472,0.89162,0.52698,0.19845,0.8958,0.000369054,0.000369054,0.000369054
122,10682.6,0.48722,0.22973,0.89483,0.99825,1,0.99472,0.88964,0.53015,0.19759,0.89894,0.000364554,0.000364554,0.000364554
123,10746.1,0.4833,0.22559,0.8915,0.99828,1,0.99477,0.89151,0.52531,0.19619,0.89977,0.000360055,0.000360055,0.000360055
124,10812.6,0.48213,0.23194,0.89683,0.99823,1,0.99459,0.89017,0.52898,0.19907,0.90046,0.000355555,0.000355555,0.000355555
125,10879.8,0.48463,0.22856,0.89476,0.99819,1,0.9941,0.88928,0.5299,0.19687,0.89801,0.000351056,0.000351056,0.000351056
126,10947.3,0.47334,0.22256,0.89171,0.99825,1,0.99483,0.88596,0.54103,0.19916,0.90995,0.000346556,0.000346556,0.000346556
127,11012.1,0.48105,0.22828,0.89171,0.99606,0.99988,0.9947,0.88949,0.53715,0.19978,0.90185,0.000342057,0.000342057,0.000342057
128,11080.3,0.4787,0.22476,0.89105,0.99817,0.99976,0.99437,0.88753,0.54145,0.19759,0.90037,0.000337557,0.000337557,0.000337557
129,11145.9,0.47705,0.22587,0.89165,0.99819,1,0.99462,0.88588,0.54176,0.19921,0.90428,0.000333058,0.000333058,0.000333058
130,11211.8,0.47451,0.22344,0.89054,0.99824,1,0.99455,0.887,0.53754,0.1972,0.90608,0.000328558,0.000328558,0.000328558
131,11279.2,0.47638,0.22566,0.89543,0.99828,1,0.99488,0.89078,0.53231,0.19718,0.90518,0.000324058,0.000324058,0.000324058
132,11347.1,0.46717,0.22284,0.89126,0.99825,1,0.99482,0.88815,0.53558,0.19791,0.90503,0.000319559,0.000319559,0.000319559
133,11415,0.4697,0.22166,0.88796,0.99799,1,0.99477,0.88837,0.54334,0.20079,0.90731,0.000315059,0.000315059,0.000315059
134,11479.1,0.46617,0.22085,0.8894,0.99775,1,0.99474,0.8882,0.53339,0.19673,0.90591,0.00031056,0.00031056,0.00031056
135,11542.9,0.47155,0.22268,0.89027,0.99768,1,0.99475,0.8865,0.53744,0.19888,0.90921,0.00030606,0.00030606,0.00030606
136,11607,0.46713,0.2222,0.8897,0.99824,1,0.99461,0.88513,0.53838,0.1978,0.90983,0.000301561,0.000301561,0.000301561
137,11674.8,0.46204,0.21837,0.88874,0.99825,1,0.99457,0.88712,0.53917,0.19864,0.90777,0.000297061,0.000297061,0.000297061
138,11741.2,0.46353,0.21804,0.88884,0.99826,1,0.99432,0.88558,0.54066,0.19674,0.90633,0.000292562,0.000292562,0.000292562
139,11807.9,0.45878,0.21694,0.88768,0.99826,1,0.99455,0.88738,0.53938,0.19662,0.90499,0.000288062,0.000288062,0.000288062
140,11873.1,0.46763,0.21844,0.89047,0.99824,0.99982,0.99462,0.88458,0.54449,0.19876,0.91264,0.000283563,0.000283563,0.000283563
141,11955.8,0.45804,0.21948,0.88665,0.99826,1,0.99431,0.88725,0.53979,0.19711,0.90768,0.000279063,0.000279063,0.000279063
142,12019.7,0.45239,0.21383,0.8819,0.99815,0.99978,0.99436,0.88681,0.54356,0.1972,0.90653,0.000274563,0.000274563,0.000274563
143,12083.9,0.45483,0.2174,0.88172,0.99823,0.99933,0.99468,0.886,0.54447,0.19862,0.90823,0.000270064,0.000270064,0.000270064
144,12147.9,0.45371,0.21325,0.88497,0.99825,1,0.99455,0.88386,0.54684,0.19811,0.90833,0.000265564,0.000265564,0.000265564
145,12212.3,0.45017,0.2113,0.8805,0.99822,1,0.9944,0.88476,0.55009,0.19784,0.91086,0.000261065,0.000261065,0.000261065
146,12277.1,0.45534,0.21367,0.8869,0.99824,1,0.99444,0.88334,0.55528,0.1998,0.9123,0.000256565,0.000256565,0.000256565
147,12343.9,0.45393,0.21301,0.88544,0.99827,1,0.99425,0.88394,0.54598,0.19671,0.91105,0.000252066,0.000252066,0.000252066
148,12410.4,0.44845,0.2134,0.88539,0.99827,1,0.99453,0.88522,0.54818,0.19702,0.91265,0.000247566,0.000247566,0.000247566
149,12477.7,0.44721,0.21101,0.88477,0.99833,1,0.99452,0.88572,0.54868,0.19715,0.91312,0.000243067,0.000243067,0.000243067
150,12546.2,0.44774,0.21401,0.88203,0.99826,1,0.99466,0.88471,0.54629,0.19748,0.90869,0.000238567,0.000238567,0.000238567
151,12615,0.44393,0.21193,0.87997,0.99818,0.99983,0.99437,0.88365,0.54851,0.19663,0.91076,0.000234068,0.000234068,0.000234068
152,12685.6,0.44224,0.20902,0.87962,0.99817,0.99984,0.99377,0.88213,0.55354,0.19715,0.91538,0.000229568,0.000229568,0.000229568
153,12753,0.44573,0.20958,0.87989,0.99827,1,0.99394,0.88335,0.55773,0.19905,0.91588,0.000225068,0.000225068,0.000225068
154,12820.9,0.44551,0.20922,0.88458,0.99825,1,0.99442,0.88357,0.55106,0.1973,0.91385,0.000220569,0.000220569,0.000220569
155,12885.7,0.4365,0.20663,0.87796,0.99823,1,0.99469,0.88671,0.54663,0.19594,0.91015,0.000216069,0.000216069,0.000216069
156,12953.5,0.44127,0.20928,0.87826,0.99831,1,0.99431,0.88331,0.55066,0.19637,0.91309,0.00021157,0.00021157,0.00021157
157,13019.7,0.44226,0.20859,0.87974,0.99825,1,0.99449,0.8871,0.5499,0.19595,0.91208,0.00020707,0.00020707,0.00020707
